2023-11-16 14:29:01 | INFO | stdout | {'baichuan2_hf': {'worker_num': 2, '1': {'model_names': ['baichuan2_hf', 'baichuan_7B_chat_hf'], 'speed': 1, 'queue_length': 0, 'check_heart_beat': True, 'last_heart_beat': 1700116120.543967, 'extend_info': {'model_names': ['baichuan2_hf', 'baichuan_7B_chat_hf'], 'speed': 1, 'queue_length': 0, 'host': '122.224.74.10', 'port': 21002, 'worker-address': 'http://122.224.74.10:21002', 'model-path': '/mnt/sdb/models/Baichuan2-7B-Chat', 'template': None, 'gpus': '0', 'start_type': 'hf'}}, '2': {'model_names': ['baichuan2_hf', 'baichuan_7B_chat_hf'], 'speed': 1, 'queue_length': 0, 'check_heart_beat': True, 'last_heart_beat': 1700116119.2988815, 'extend_info': {'model_names': ['baichuan2_hf', 'baichuan_7B_chat_hf'], 'speed': 1, 'queue_length': 0, 'host': '122.224.74.10', 'port': 21003, 'worker-address': 'http://122.224.74.10:21003', 'model-path': '/mnt/sdb/models/Baichuan2-7B-Chat', 'template': None, 'gpus': '1', 'start_type': 'hf'}}}, 'baichuan_7B_chat_hf': {'worker_num': 2, '1': {'model_names': ['baichuan2_hf', 'baichuan_7B_chat_hf'], 'speed': 1, 'queue_length': 0, 'check_heart_beat': True, 'last_heart_beat': 1700116120.543967, 'extend_info': {'model_names': ['baichuan2_hf', 'baichuan_7B_chat_hf'], 'speed': 1, 'queue_length': 0, 'host': '122.224.74.10', 'port': 21002, 'worker-address': 'http://122.224.74.10:21002', 'model-path': '/mnt/sdb/models/Baichuan2-7B-Chat', 'template': None, 'gpus': '0', 'start_type': 'hf'}}, '2': {'model_names': ['baichuan2_hf', 'baichuan_7B_chat_hf'], 'speed': 1, 'queue_length': 0, 'check_heart_beat': True, 'last_heart_beat': 1700116119.2988815, 'extend_info': {'model_names': ['baichuan2_hf', 'baichuan_7B_chat_hf'], 'speed': 1, 'queue_length': 0, 'host': '122.224.74.10', 'port': 21003, 'worker-address': 'http://122.224.74.10:21003', 'model-path': '/mnt/sdb/models/Baichuan2-7B-Chat', 'template': None, 'gpus': '1', 'start_type': 'hf'}}}, 'embedding_general': {'worker_num': 2, '1': {'model_names': ['embedding_general'], 'speed': 1, 'queue_length': 0, 'check_heart_beat': True, 'last_heart_beat': 1700116133.656671, 'extend_info': {'model_names': ['embedding_general'], 'speed': 1, 'queue_length': 0, 'host': '122.224.74.10', 'port': 21004, 'worker-address': 'http://122.224.74.10:21004', 'model-path': '/mnt/sdb/models/paraphrase-multilingual-mpnet-base-v2', 'gpus': '3', 'start_type': 'general'}}, '2': {'model_names': ['embedding_general'], 'speed': 1, 'queue_length': 0, 'check_heart_beat': True, 'last_heart_beat': 1700116121.2800987, 'extend_info': {'model_names': ['embedding_general'], 'speed': 1, 'queue_length': 0, 'host': '122.224.74.10', 'port': 21007, 'worker-address': 'http://122.224.74.10:21007', 'model-path': '/mnt/sdb/models/paraphrase-multilingual-mpnet-base-v2', 'gpus': '3', 'start_type': 'general'}}}}
2023-11-16 14:29:06 | INFO | stdout | 1
2023-11-16 14:29:06 | INFO | stdout | INFO:     122.224.74.10:43720 - "POST /deploy HTTP/1.1" 500 Internal Server Error
2023-11-16 14:29:17 | INFO | stdout | {'model_name': 'e', 'host': '122.224.74.10', 'port': 21008}
2023-11-16 14:29:17 | INFO | stdout | 1
2023-11-16 14:29:17 | INFO | stdout | {'baichuan2_hf': {'worker_num': 2, '1': {'model_names': ['baichuan2_hf', 'baichuan_7B_chat_hf'], 'speed': 1, 'queue_length': 0, 'check_heart_beat': True, 'last_heart_beat': 1700116150.580753, 'extend_info': {'model_names': ['baichuan2_hf', 'baichuan_7B_chat_hf'], 'speed': 1, 'queue_length': 0, 'host': '122.224.74.10', 'port': 21002, 'worker-address': 'http://122.224.74.10:21002', 'model-path': '/mnt/sdb/models/Baichuan2-7B-Chat', 'template': None, 'gpus': '0', 'start_type': 'hf'}}, '2': {'model_names': ['baichuan2_hf', 'baichuan_7B_chat_hf'], 'speed': 1, 'queue_length': 0, 'check_heart_beat': True, 'last_heart_beat': 1700116149.3320215, 'extend_info': {'model_names': ['baichuan2_hf', 'baichuan_7B_chat_hf'], 'speed': 1, 'queue_length': 0, 'host': '122.224.74.10', 'port': 21003, 'worker-address': 'http://122.224.74.10:21003', 'model-path': '/mnt/sdb/models/Baichuan2-7B-Chat', 'template': None, 'gpus': '1', 'start_type': 'hf'}}}, 'baichuan_7B_chat_hf': {'worker_num': 2, '1': {'model_names': ['baichuan2_hf', 'baichuan_7B_chat_hf'], 'speed': 1, 'queue_length': 0, 'check_heart_beat': True, 'last_heart_beat': 1700116150.580753, 'extend_info': {'model_names': ['baichuan2_hf', 'baichuan_7B_chat_hf'], 'speed': 1, 'queue_length': 0, 'host': '122.224.74.10', 'port': 21002, 'worker-address': 'http://122.224.74.10:21002', 'model-path': '/mnt/sdb/models/Baichuan2-7B-Chat', 'template': None, 'gpus': '0', 'start_type': 'hf'}}, '2': {'model_names': ['baichuan2_hf', 'baichuan_7B_chat_hf'], 'speed': 1, 'queue_length': 0, 'check_heart_beat': True, 'last_heart_beat': 1700116149.3320215, 'extend_info': {'model_names': ['baichuan2_hf', 'baichuan_7B_chat_hf'], 'speed': 1, 'queue_length': 0, 'host': '122.224.74.10', 'port': 21003, 'worker-address': 'http://122.224.74.10:21003', 'model-path': '/mnt/sdb/models/Baichuan2-7B-Chat', 'template': None, 'gpus': '1', 'start_type': 'hf'}}}, 'embedding_general': {'worker_num': 2, '1': {'model_names': ['embedding_general'], 'speed': 1, 'queue_length': 0, 'check_heart_beat': True, 'last_heart_beat': 1700116133.656671, 'extend_info': {'model_names': ['embedding_general'], 'speed': 1, 'queue_length': 0, 'host': '122.224.74.10', 'port': 21004, 'worker-address': 'http://122.224.74.10:21004', 'model-path': '/mnt/sdb/models/paraphrase-multilingual-mpnet-base-v2', 'gpus': '3', 'start_type': 'general'}}, '2': {'model_names': ['embedding_general'], 'speed': 1, 'queue_length': 0, 'check_heart_beat': True, 'last_heart_beat': 1700116151.3169537, 'extend_info': {'model_names': ['embedding_general'], 'speed': 1, 'queue_length': 0, 'host': '122.224.74.10', 'port': 21007, 'worker-address': 'http://122.224.74.10:21007', 'model-path': '/mnt/sdb/models/paraphrase-multilingual-mpnet-base-v2', 'gpus': '3', 'start_type': 'general'}}}}
2023-11-16 14:29:22 | INFO | stdout | 1
2023-11-16 14:29:22 | INFO | stdout | {'baichuan2_hf': {'worker_num': 2, '1': {'model_names': ['baichuan2_hf', 'baichuan_7B_chat_hf'], 'speed': 1, 'queue_length': 0, 'check_heart_beat': True, 'last_heart_beat': 1700116150.580753, 'extend_info': {'model_names': ['baichuan2_hf', 'baichuan_7B_chat_hf'], 'speed': 1, 'queue_length': 0, 'host': '122.224.74.10', 'port': 21002, 'worker-address': 'http://122.224.74.10:21002', 'model-path': '/mnt/sdb/models/Baichuan2-7B-Chat', 'template': None, 'gpus': '0', 'start_type': 'hf'}}, '2': {'model_names': ['baichuan2_hf', 'baichuan_7B_chat_hf'], 'speed': 1, 'queue_length': 0, 'check_heart_beat': True, 'last_heart_beat': 1700116149.3320215, 'extend_info': {'model_names': ['baichuan2_hf', 'baichuan_7B_chat_hf'], 'speed': 1, 'queue_length': 0, 'host': '122.224.74.10', 'port': 21003, 'worker-address': 'http://122.224.74.10:21003', 'model-path': '/mnt/sdb/models/Baichuan2-7B-Chat', 'template': None, 'gpus': '1', 'start_type': 'hf'}}}, 'baichuan_7B_chat_hf': {'worker_num': 2, '1': {'model_names': ['baichuan2_hf', 'baichuan_7B_chat_hf'], 'speed': 1, 'queue_length': 0, 'check_heart_beat': True, 'last_heart_beat': 1700116150.580753, 'extend_info': {'model_names': ['baichuan2_hf', 'baichuan_7B_chat_hf'], 'speed': 1, 'queue_length': 0, 'host': '122.224.74.10', 'port': 21002, 'worker-address': 'http://122.224.74.10:21002', 'model-path': '/mnt/sdb/models/Baichuan2-7B-Chat', 'template': None, 'gpus': '0', 'start_type': 'hf'}}, '2': {'model_names': ['baichuan2_hf', 'baichuan_7B_chat_hf'], 'speed': 1, 'queue_length': 0, 'check_heart_beat': True, 'last_heart_beat': 1700116149.3320215, 'extend_info': {'model_names': ['baichuan2_hf', 'baichuan_7B_chat_hf'], 'speed': 1, 'queue_length': 0, 'host': '122.224.74.10', 'port': 21003, 'worker-address': 'http://122.224.74.10:21003', 'model-path': '/mnt/sdb/models/Baichuan2-7B-Chat', 'template': None, 'gpus': '1', 'start_type': 'hf'}}}, 'embedding_general': {'worker_num': 2, '1': {'model_names': ['embedding_general'], 'speed': 1, 'queue_length': 0, 'check_heart_beat': True, 'last_heart_beat': 1700116133.656671, 'extend_info': {'model_names': ['embedding_general'], 'speed': 1, 'queue_length': 0, 'host': '122.224.74.10', 'port': 21004, 'worker-address': 'http://122.224.74.10:21004', 'model-path': '/mnt/sdb/models/paraphrase-multilingual-mpnet-base-v2', 'gpus': '3', 'start_type': 'general'}}, '2': {'model_names': ['embedding_general'], 'speed': 1, 'queue_length': 0, 'check_heart_beat': True, 'last_heart_beat': 1700116151.3169537, 'extend_info': {'model_names': ['embedding_general'], 'speed': 1, 'queue_length': 0, 'host': '122.224.74.10', 'port': 21007, 'worker-address': 'http://122.224.74.10:21007', 'model-path': '/mnt/sdb/models/paraphrase-multilingual-mpnet-base-v2', 'gpus': '3', 'start_type': 'general'}}}}
2023-11-16 14:29:27 | INFO | stdout | 1
2023-11-16 14:29:27 | INFO | stdout | {'baichuan2_hf': {'worker_num': 2, '1': {'model_names': ['baichuan2_hf', 'baichuan_7B_chat_hf'], 'speed': 1, 'queue_length': 0, 'check_heart_beat': True, 'last_heart_beat': 1700116150.580753, 'extend_info': {'model_names': ['baichuan2_hf', 'baichuan_7B_chat_hf'], 'speed': 1, 'queue_length': 0, 'host': '122.224.74.10', 'port': 21002, 'worker-address': 'http://122.224.74.10:21002', 'model-path': '/mnt/sdb/models/Baichuan2-7B-Chat', 'template': None, 'gpus': '0', 'start_type': 'hf'}}, '2': {'model_names': ['baichuan2_hf', 'baichuan_7B_chat_hf'], 'speed': 1, 'queue_length': 0, 'check_heart_beat': True, 'last_heart_beat': 1700116149.3320215, 'extend_info': {'model_names': ['baichuan2_hf', 'baichuan_7B_chat_hf'], 'speed': 1, 'queue_length': 0, 'host': '122.224.74.10', 'port': 21003, 'worker-address': 'http://122.224.74.10:21003', 'model-path': '/mnt/sdb/models/Baichuan2-7B-Chat', 'template': None, 'gpus': '1', 'start_type': 'hf'}}}, 'baichuan_7B_chat_hf': {'worker_num': 2, '1': {'model_names': ['baichuan2_hf', 'baichuan_7B_chat_hf'], 'speed': 1, 'queue_length': 0, 'check_heart_beat': True, 'last_heart_beat': 1700116150.580753, 'extend_info': {'model_names': ['baichuan2_hf', 'baichuan_7B_chat_hf'], 'speed': 1, 'queue_length': 0, 'host': '122.224.74.10', 'port': 21002, 'worker-address': 'http://122.224.74.10:21002', 'model-path': '/mnt/sdb/models/Baichuan2-7B-Chat', 'template': None, 'gpus': '0', 'start_type': 'hf'}}, '2': {'model_names': ['baichuan2_hf', 'baichuan_7B_chat_hf'], 'speed': 1, 'queue_length': 0, 'check_heart_beat': True, 'last_heart_beat': 1700116149.3320215, 'extend_info': {'model_names': ['baichuan2_hf', 'baichuan_7B_chat_hf'], 'speed': 1, 'queue_length': 0, 'host': '122.224.74.10', 'port': 21003, 'worker-address': 'http://122.224.74.10:21003', 'model-path': '/mnt/sdb/models/Baichuan2-7B-Chat', 'template': None, 'gpus': '1', 'start_type': 'hf'}}}, 'embedding_general': {'worker_num': 3, '1': {'model_names': ['embedding_general'], 'speed': 1, 'queue_length': 0, 'check_heart_beat': True, 'last_heart_beat': 1700116163.6739163, 'extend_info': {'model_names': ['embedding_general'], 'speed': 1, 'queue_length': 0, 'host': '122.224.74.10', 'port': 21004, 'worker-address': 'http://122.224.74.10:21004', 'model-path': '/mnt/sdb/models/paraphrase-multilingual-mpnet-base-v2', 'gpus': '3', 'start_type': 'general'}}, '2': {'model_names': ['embedding_general'], 'speed': 1, 'queue_length': 0, 'check_heart_beat': True, 'last_heart_beat': 1700116151.3169537, 'extend_info': {'model_names': ['embedding_general'], 'speed': 1, 'queue_length': 0, 'host': '122.224.74.10', 'port': 21007, 'worker-address': 'http://122.224.74.10:21007', 'model-path': '/mnt/sdb/models/paraphrase-multilingual-mpnet-base-v2', 'gpus': '3', 'start_type': 'general'}}, '3': {'model_names': ['embedding_general'], 'speed': 1, 'queue_length': 0, 'check_heart_beat': True, 'last_heart_beat': 1700116165.1283758, 'extend_info': {'model_names': ['embedding_general'], 'speed': 1, 'queue_length': 0, 'host': '122.224.74.10', 'port': 21008, 'worker-address': 'http://122.224.74.10:21008', 'model-path': '/mnt/sdb/models/paraphrase-multilingual-mpnet-base-v2', 'gpus': '3', 'start_type': 'general'}}}}
